LOCALIDADE,CIDADE,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE
Cidade,Rio Pomba,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,400,300,450,600,Valor da mensalidade adequado,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,300,350,200,500
Cidade,Rio Pomba,Cabo de internet arrebentado,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,350,450,550,350,Publicidade (Panfletos / Redes Sociais),Indicação,Promoção,Valor da mensalidade adequado,300,250,200,500
Cidade,Rio Pomba,Cabo de internet arrebentado,Roteador desconfigurado,Cabo de internet arrebentado,Roteador desconfigurado,300,300,400,350,Indicação,Indicação,Indicação,Indicação,200,250,200,200
Cidade,Juiz de Fora,Roteador desconfigurado,Falta de energia no local,Falta de energia no local,Falta de energia no local,350,300,400,400,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,200,250,200,200
Cidade,Ubá,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,300,400,400,350,Promoção,Publicidade (Panfletos / Redes Sociais),Indicação,Valor da mensalidade adequado,350,250,400,200
Cidade,Tabuleiro,Roteador desconfigurado,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,400,550,550,450,Valor da mensalidade adequado,Indicação,Promoção,Indicação,400,250,200,200
Cidade,Tabuleiro,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Roteador desconfigurado,350,450,500,600,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,300,350,400,200
Área Rural,Juiz de Fora,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,400,450,400,450,Publicidade (Panfletos / Redes Sociais),Indicação,Promoção,Valor da mensalidade adequado,400,300,200,200
Cidade,Mercês,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,400,450,500,600,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,200,350,200,450
Área Rural,Juiz de Fora,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,400,300,400,450,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),400,300,400,200
Área Rural,Pirauba,Falta de energia no local,Roteador desconfigurado,Falta de energia no local,Falta de pagamento da mensalidade,350,400,450,400,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),350,350,400,500
Cidade,Ubá,Falta de energia no local,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,300,300,550,600,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,200,250,450,500
Área Rural,Tocantins,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,450,600,Indicação,Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,200,450,400,500
Cidade,Ubá,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,350,400,450,450,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,300,250,350,350
Área Rural,Silveirânia,Roteador desconfigurado,Cabo de internet arrebentado,Roteador desconfigurado,Cabo de internet arrebentado,350,450,400,600,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,400,250,450,450
Cidade,Juiz de Fora,Cabo de internet arrebentado,Falta de energia no local,Falta de energia no local,Falta de energia no local,300,300,450,450,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,200,250,200,350
Área Rural,Juiz de Fora,Roteador desconfigurado,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,300,450,500,450,Indicação,Promoção,Publicidade (Panfletos / Redes Sociais),Promoção,400,300,200,200
Cidade,Tocantins,Falta de energia no local,Falta de energia no local,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,400,450,500,450,Publicidade (Panfletos / Redes Sociais),Indicação,Valor da mensalidade adequado,Promoção,350,350,400,450
Área Rural,Pirauba,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,400,450,550,450,Indicação,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),200,250,200,350
Cidade,Rio Pomba,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,300,300,450,450,Promoção,Promoção,Promoção,Promoção,200,250,350,200
Cidade,Tabuleiro,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Roteador desconfigurado,300,300,450,350,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,200,250,350,350
Cidade,Rio Pomba,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,300,400,500,600,Indicação,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Promoção,350,450,200,500
Área Rural,Mercês,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,400,450,600,Publicidade (Panfletos / Redes Sociais),Indicação,Promoção,Valor da mensalidade adequado,200,250,350,450
Cidade,Ubá,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,Roteador desconfigurado,350,450,450,400,Valor da mensalidade adequado,Valor da mensalidade adequado,Indicação,Indicação,350,350,400,450
Cidade,Juiz de Fora,Cabo de internet arrebentado,Cabo de internet arrebentado,Falta de energia no local,Falta de energia no local,300,400,400,350,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,200,250,200,200
