LOCALIDADE,CIDADE,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE
Cidade,Rio Pomba,Falta de energia no local,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,400,450,300,500,Indicação,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,350,300,400,350
Cidade,Rio Pomba,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Roteador desconfigurado,Cabo de internet arrebentado,200,400,500,400,Promoção,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),Indicação,150,300,400,450
Cidade,Rio Pomba,Cabo de internet arrebentado,Roteador desconfigurado,Cabo de internet arrebentado,Roteador desconfigurado,200,350,300,400,Promoção,Promoção,Promoção,Promoção,150,100,250,300
Cidade,Juiz de Fora,Roteador desconfigurado,Cabo de internet arrebentado,Roteador desconfigurado,Falta de energia no local,200,350,300,400,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,200,250,250,300
Cidade,Ubá,Roteador desconfigurado,Falta de pagamento da mensalidade,Falta de pagamento da mensalidade,Cabo de internet arrebentado,200,350,350,450,Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,150,100,250,300
Cidade,Tabuleiro,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,200,350,350,450,Indicação,Promoção,Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),300,250,250,450
Cidade,Tabuleiro,Falta de energia no local,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de pagamento da mensalidade,450,500,450,400,Indicação,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,350,300,250,450
Área Rural,Juiz de Fora,Falta de energia no local,Roteador desconfigurado,Roteador desconfigurado,Falta de pagamento da mensalidade,350,500,450,600,Indicação,Indicação,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,350,300,350,450
Cidade,Mercês,Falta de pagamento da mensalidade,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,350,500,350,500,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,300,350,350,400
Área Rural,Juiz de Fora,Cabo de internet arrebentado,Roteador desconfigurado,Falta de energia no local,Falta de pagamento da mensalidade,350,450,500,500,Valor da mensalidade adequado,Indicação,Promoção,Valor da mensalidade adequado,350,300,400,400
Área Rural,Pirauba,Roteador desconfigurado,Falta de energia no local,Falta de pagamento da mensalidade,Cabo de internet arrebentado,400,450,300,400,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Indicação,Publicidade (Panfletos / Redes Sociais),150,100,250,300
Cidade,Ubá,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,400,350,450,Indicação,Promoção,Promoção,Publicidade (Panfletos / Redes Sociais),150,350,300,400
Área Rural,Tocantins,Falta de pagamento da mensalidade,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,200,350,300,400,Promoção,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Publicidade (Panfletos / Redes Sociais),150,100,250,300
Cidade,Ubá,Falta de pagamento da mensalidade,Cabo de internet arrebentado,Falta de energia no local,Falta de pagamento da mensalidade,200,350,450,500,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,Indicação,200,100,250,350
Área Rural,Silveirânia,Falta de pagamento da mensalidade,Falta de energia no local,Roteador desconfigurado,Cabo de internet arrebentado,450,500,300,600,Indicação,Valor da mensalidade adequado,Indicação,Indicação,150,300,300,300
Cidade,Juiz de Fora,Falta de energia no local,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,350,350,450,400,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,Valor da mensalidade adequado,200,250,250,300
Área Rural,Juiz de Fora,Roteador desconfigurado,Cabo de internet arrebentado,Falta de pagamento da mensalidade,Falta de energia no local,400,350,500,450,Indicação,Promoção,Valor da mensalidade adequado,Indicação,150,100,250,350
Cidade,Tocantins,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,Cabo de internet arrebentado,350,400,350,450,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,Indicação,200,250,300,350
Área Rural,Pirauba,Cabo de internet arrebentado,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,200,400,300,450,Promoção,Promoção,Valor da mensalidade adequado,Valor da mensalidade adequado,150,100,300,350
Cidade,Rio Pomba,Cabo de internet arrebentado,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,200,400,300,400,Promoção,Promoção,Promoção,Promoção,150,100,250,300
Cidade,Tabuleiro,Falta de energia no local,Cabo de internet arrebentado,Roteador desconfigurado,Falta de pagamento da mensalidade,350,400,450,500,Promoção,Valor da mensalidade adequado,Promoção,Valor da mensalidade adequado,200,250,300,350
Cidade,Rio Pomba,Falta de pagamento da mensalidade,Roteador desconfigurado,Falta de energia no local,Cabo de internet arrebentado,450,500,350,400,Indicação,Publicidade (Panfletos / Redes Sociais),Promoção,Valor da mensalidade adequado,350,250,400,450
Área Rural,Mercês,Cabo de internet arrebentado,Falta de energia no local,Roteador desconfigurado,Falta de pagamento da mensalidade,200,350,450,500,Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,Promoção,150,250,300,350
Cidade,Ubá,Falta de energia no local,Falta de energia no local,Cabo de internet arrebentado,Falta de pagamento da mensalidade,350,350,350,450,Publicidade (Panfletos / Redes Sociais),Valor da mensalidade adequado,Promoção,Publicidade (Panfletos / Redes Sociais),150,300,300,300
Cidade,Juiz de Fora,Falta de energia no local,Falta de energia no local,Falta de pagamento da mensalidade,Cabo de internet arrebentado,350,450,300,450,Valor da mensalidade adequado,Valor da mensalidade adequado,Promoção,Valor da mensalidade adequado,300,250,250,350
